ride_id,driver_name,pickup_lat,pickup_lon,drop_lat,drop_lon,geohash,departure_hour,available_seats,fare_per_seat
R000038,Chakradhar,22.565719,88.437881,22.488247,88.4158,tunbk7,13,0,56
R000039,Reva,22.676602,88.403241,22.642537,88.410053,tunc58,9,1,89
R000040,Bhavini,22.639253,88.334155,22.521819,88.364649,tunbf1,13,2,110
R000041,Arya,22.489217,88.328584,22.556323,88.446939,tgyzcy,16,1,118
R000042,Yadavi,22.559164,88.260123,22.543705,88.35613,tunb26,17,1,69
R000043,Banjeet,22.620603,88.446248,22.668348,88.373975,tunbst,9,0,44
R000044,Arjun,22.522013,88.277291,22.579574,88.381347,tunb0u,18,1,103
R000045,Chaman,22.622703,88.347974,22.436033,88.379252,tunbdq,7,1,74
R000046,Hemani,22.515399,88.298789,22.608898,88.459886,tunb16,12,4,53
R000047,Suhani,22.657363,88.435441,22.539989,88.311763,tunbuk,20,3,103
R000048,Kamala,22.549019,88.28255,22.539277,88.33748,tunb2b,19,1,110
R000049,Jyoti,22.630743,88.34187,22.568625,88.322231,tunbdr,10,4,107
R000050,Jagvi,22.46397,88.352298,22.587228,88.307825,tgyzf9,19,0,66
R000051,Ekalinga,22.597917,88.373946,22.563521,88.406276,tunbdc,14,1,82
R000052,Chatura,22.571534,88.450032,22.611072,88.486902,tunbkt,18,0,125
R000053,Hemang,22.674947,88.33353,22.540549,88.348368,tunbfp,18,1,136
R000054,Damyanti,22.562726,88.478057,22.424053,88.399912,tunbm7,20,4,90
R000055,Sara,22.524367,88.350674,22.602723,88.464403,tunb4k,19,0,51
R000056,Oscar,22.476471,88.388744,22.520295,88.357425,tgyzg7,21,0,142
R000057,Gagan,22.515158,88.323699,22.613769,88.40052,tunb1f,18,1,117
R000058,Daniel,22.521876,88.362439,22.5657,88.308818,tunb4e,14,2,45
R000059,Chavvi,22.633351,88.42893,22.641603,88.442074,tunbu0,17,3,48
R000060,Daksha,22.598809,88.322675,22.486043,88.301159,tunb9c,16,1,86
R000061,Jackson,22.606134,88.342893,22.574819,88.432809,tunbd7,20,3,106
R000062,Tanay,22.652067,88.369476,22.551012,88.293789,tunbfg,10,4,121
R000063,Tanmayi,22.646126,88.381691,22.570344,88.4123,tunbg4,10,2,129
R000064,Hritik,22.629607,88.374012,22.611653,88.390376,tunbdz,9,4,114
R000065,Nidhi,22.536307,88.354613,22.587343,88.386832,tunb4w,15,4,73
R000066,Bhavika,22.578314,88.34824,22.583449,88.456678,tunb6q,10,4,99
R000067,Watika,22.672467,88.38489,22.636081,88.45156,tunbgp,10,4,77
R000068,Manya,22.633851,88.430598,22.659288,88.357285,tunbu2,14,0,49
R000069,Anya,22.445956,88.378526,22.554592,88.365655,tgyzen,12,4,147
R000070,Pahal,22.494462,88.280964,22.603393,88.413413,tgyzby,19,1,91
R000071,Abhiram,22.527643,88.329202,22.671918,88.345531,tunb1v,17,4,141
R000072,Dakshesh,22.625454,88.369171,22.521276,88.292131,tunbdy,12,2,81
R000073,Ekavir,22.579952,88.338755,22.603802,88.499095,tunb6n,15,3,101
R000074,Ria,22.625166,88.39692,22.468037,88.445592,tunbew,19,2,144
R000075,Yug,22.617117,88.346125,22.565776,88.422584,tunbdm,22,4,105
R000076,Neha,22.568441,88.332499,22.61876,88.366837,tunb6h,11,0,142
R000077,Joshua,22.538344,88.325956,22.551061,88.476216,tunb1y,17,1,94
R000078,Chasmum,22.485308,88.425782,22.481395,88.374112,tgyzuj,10,4,86
R000079,Aishani,22.601237,88.503319,22.600567,88.411366,tunbtf,7,2,69
R000080,Aryan,22.594923,88.498713,22.446649,88.36021,tunbtc,11,3,66
R000081,Darpan,22.656633,88.408124,22.59767,88.403996,tunbgu,17,2,95
R000082,Jalsa,22.508828,88.370408,22.554443,88.280575,tunb4c,8,2,90
R000083,Ira,22.62213,88.460189,22.55584,88.357497,tunbsy,14,4,42
R000084,Charvi,22.529103,88.358844,22.546981,88.317964,tunb4t,15,0,139
R000085,Abhimanyu,22.67945,88.349857,22.491649,88.30815,tunc42,11,4,61
R000086,Vinaya,22.511412,88.305382,22.599265,88.447232,tunb16,17,1,93
R000087,Lajita,22.613671,88.367945,22.657092,88.350649,tunbdu,12,1,41
R000088,Hemangini,22.629003,88.376132,22.577742,88.386959,tunbep,17,0,139
R000089,Gayathri,22.63248,88.376476,22.614125,88.38341,tunbg0,7,2,99
R000090,Maya,22.639399,88.425317,22.49535,88.277024,tunbu1,9,1,52
R000091,Sai,22.573933,88.485319,22.536747,88.357225,tunbmt,8,1,113
R000092,Forum,22.585379,88.460949,22.487412,88.398368,tunbkz,12,1,138
R000093,Zayan,22.537318,88.357892,22.51882,88.33988,tunb4w,15,2,103
R000094,Aarush,22.575678,88.294368,22.523279,88.268914,tunb3j,17,4,110
R000095,Kabir,22.671603,88.406934,22.449484,88.419015,tunbgx,11,1,63
R000096,Aarush,22.545171,88.313348,22.641509,88.392842,tunb38,13,2,91
R000097,Mason,22.575144,88.295882,22.521206,88.38161,tunb3j,22,4,124
R000098,Fiyaz,22.494996,88.360985,22.635966,88.450344,tgyzfx,15,4,85
R000099,Wriddhish,22.576971,88.44506,22.592484,88.421163,tunbkw,12,1,105
R000100,Irya,22.514763,88.261463,22.511984,88.413679,tunb06,17,4,74
R000101,Pranav,22.621433,88.428012,22.44464,88.374808,tunbsn,17,4,86
R000102,Arya,22.641288,88.446901,22.646433,88.387039,tunbu9,16,4,97
R000103,Xiti,22.606158,88.433526,22.48978,88.368656,tunbs7,13,0,57
R000104,Amruta,22.482704,88.43345,22.586697,88.388573,tgyzuk,22,3,68
R000105,Liam,22.593529,88.408077,22.627786,88.362035,tunbec,17,0,59
R000106,Anthony,22.55022,88.355214,22.660634,88.425347,tunb69,15,2,70
R000107,Bhavya,22.503611,88.402398,22.586089,88.412328,tunb58,19,2,42
R000108,Megha,22.49788,88.358285,22.61501,88.440901,tgyzfx,11,4,126
R000109,Aishani,22.59201,88.439371,22.508222,88.345314,tunbs2,6,0,75
R000110,Alexander,22.555923,88.31219,22.577612,88.334474,tunb3d,21,4,95
R000111,Daniel,22.52904,88.291191,22.703334,88.402978,tunb1j,18,4,126
R000112,Manan,22.620475,88.415618,22.697153,88.366122,tunbev,15,1,111
R000113,Vaishnavi,22.536024,88.357508,22.428271,88.409604,tunb4w,11,2,149
R000114,Akshay,22.567556,88.434859,22.443837,88.415414,tunbkk,9,1,97
R000115,Dhruv,22.652686,88.404096,22.659886,88.352786,tunbge,15,1,87
R000116,Christopher,22.546835,88.334252,22.569507,88.308152,tunb60,9,1,43
R000117,Patrick,22.630088,88.412254,22.607807,88.402642,tunbez,10,2,134
R000118,Vaishnavi,22.528359,88.344958,22.648951,88.424262,tunb4m,11,1,59
R000119,Lucky,22.604345,88.340772,22.594,88.440395,tunbd4,16,0,86
R000120,Jatin,22.616697,88.375565,22.619278,88.412804,tunbej,12,3,148
R000121,Jagvi,22.497842,88.361865,22.473957,88.345406,tgyzfx,21,0,112
R000122,Finn,22.45827,88.415943,22.645677,88.360181,tgyzgb,20,2,78
R000123,Manya,22.525555,88.31888,22.50824,88.303833,tunb1s,8,4,50
R000124,Jagdish,22.593102,88.358627,22.581075,88.309213,tunbd8,12,2,130
R000125,Chanakya,22.58446,88.473068,22.520197,88.312579,tunbmr,20,3,109
R000126,Orinder,22.606368,88.419313,22.603719,88.404281,tunbs5,18,3,120
R000127,Ekaraj,22.606662,88.469675,22.592893,88.314452,tunbt5,8,4,79
R000128,Lakshmi,22.633096,88.434731,22.60119,88.329525,tunbu2,19,2,134
R000129,Champak,22.516242,88.387514,22.569361,88.352656,tunb56,11,0,47
R000130,Yauvani,22.604877,88.411941,22.640559,88.372094,tunbeg,13,0,109
R000131,Yatan,22.427609,88.362465,22.616574,88.384035,tgyzdd,10,2,50
R000132,Sarthak,22.644288,88.435428,22.5672,88.284558,tunbu6,13,0,66
R000133,Ethan,22.490831,88.349575,22.529568,88.366319,tgyzfq,11,4,110
R000134,Niharika,22.617504,88.457555,22.489603,88.425934,tunbsv,20,0,104
R000135,Aarush,22.580787,88.324,22.525977,88.364016,tunb3y,6,3,110
R000136,Gauri,22.584028,88.406263,22.623984,88.399589,tunb7x,11,0,65
R000137,Quincy,22.548601,88.319073,22.625258,88.481534,tunb38,7,1,138
R000138,Kabir,22.528069,88.392496,22.633932,88.4667,tunb5m,12,0,96
R000139,Ekaja,22.647862,88.358502,22.577208,88.435398,tunbfd,7,4,137
R000140,Kashvi,22.586825,88.478406,22.598211,88.337333,tunbmr,17,0,95
R000141,Aadi,22.588215,88.478351,22.655017,88.349411,tunbt2,11,3,131
R000142,Kamala,22.6544,88.431555,22.564997,88.327429,tunbuk,10,1,63
R000143,Damini,22.637549,88.393503,22.579551,88.481393,tunbg3,8,3,83
R000144,Girish,22.514384,88.329616,22.694532,88.4004,tunb1f,21,1,108
R000145,Vamakshi,22.469092,88.412565,22.625602,88.3396,tgyzgf,11,0,96
R000146,Ridhi,22.513841,88.364349,22.577349,88.434475,tunb4f,13,1,78
R000147,Ranveer,22.551499,88.323875,22.464896,88.391343,tunb3c,8,4,101
R000148,Lipika,22.50853,88.358739,22.576848,88.466945,tunb49,15,3,78
R000149,Bhavna,22.600666,88.36826,22.546135,88.268457,tunbdf,6,3,80
R000150,Oviya,22.653911,88.432604,22.446032,88.400688,tunbuk,19,4,73
R000151,Nathan,22.65573,88.342292,22.528072,88.384667,tunbfk,22,0,128
R000152,Utkarsh,22.478805,88.434323,22.454118,88.392906,tgyzuk,11,3,130
R000153,Amol,22.606212,88.461329,22.613978,88.393195,tunbsg,18,2,123
R000154,Lucky,22.537376,88.315323,22.648373,88.371438,tunb1w,14,3,81
R000155,Damini,22.655688,88.347817,22.431918,88.419845,tunbfk,18,4,132
R000156,Teerth,22.555801,88.26605,22.642602,88.404005,tunb2d,14,0,84
R000157,Jack,22.569347,88.482811,22.42381,88.384054,tunbmk,6,4,110
R000158,Rajata,22.589864,88.338982,22.57896,88.492232,tunbd0,9,2,98
R000159,Inaya,22.549904,88.437225,22.442706,88.384966,tunbk3,18,1,136
R000160,Gautami,22.470941,88.393697,22.587972,88.439511,tgyzg6,18,2,61
R000161,Rachita,22.615947,88.483269,22.587794,88.416581,tunbtm,22,4,107
R000162,Libni,22.562147,88.40512,22.642122,88.331124,tunb7e,13,4,102
R000163,Charita,22.571898,88.464925,22.623158,88.383799,tunbmj,6,0,51
R000164,Benjamin,22.573559,88.314646,22.690575,88.362049,tunb3t,6,1,126
R000165,Warhi,22.6313,88.332264,22.628705,88.379044,tunbdp,18,4,111
R000166,Chaitaly,22.568627,88.437359,22.567369,88.33724,tunbkk,22,3,124
R000167,Jonathan,22.566468,88.280076,22.646019,88.454943,tunb2u,7,2,86
R000168,Robert,22.556434,88.465894,22.644692,88.370257,tunbm4,19,0,80
R000169,Pallavi,22.432413,88.405395,22.545002,88.293046,tgyzee,7,1,82
R000170,Urmi,22.581458,88.46489,22.549568,88.457719,tunbmn,10,4,122
R000171,Panini,22.50527,88.391607,22.591629,88.35438,tunb52,15,2,65
R000172,Odika,22.670429,88.358621,22.683107,88.399094,tunbfx,8,2,146
R000173,Rohan,22.67832,88.419978,22.591483,88.469808,tunch0,9,3,66
R000174,Aishani,22.64015,88.426366,22.522163,88.257807,tunbu1,14,2,149
R000175,Triveni,22.571701,88.475604,22.608896,88.381901,tunbmm,13,3,58
R000176,Omisha,22.579941,88.4454,22.63497,88.394717,tunbkw,20,0,150
R000177,Samaksh,22.644654,88.361978,22.620509,88.452691,tunbfd,17,0,79
R000178,Watika,22.441093,88.402348,22.56877,88.311208,tgyzet,16,0,49
R000179,Darika,22.541364,88.322417,22.582677,88.415257,tunb1z,14,3,118
R000180,Harinakshi,22.672523,88.401786,22.618217,88.366869,tunbgx,13,1,136
R000181,Nitara,22.490934,88.328674,22.565064,88.441935,tgyzcy,15,3,68
R000182,Daksh,22.472615,88.374253,22.438254,88.413703,tgyzg5,21,3,107
R000183,Shaurya,22.638491,88.391595,22.692505,88.364283,tunbg3,21,4,67
R000184,Farhan,22.687181,88.389469,22.616271,88.435908,tunc56,19,0,115
R000185,Charan,22.500585,88.272151,22.601422,88.3453,tunb08,22,2,119
R000186,Nidhi,22.539575,88.329216,22.544438,88.26694,tunb1z,11,0,141
R000187,Jagdish,22.5104,88.389617,22.576053,88.478578,tunb53,6,1,121
R000188,Wridesh,22.628033,88.473117,22.494345,88.377519,tunbtr,22,0,78
R000189,Tanay,22.516685,88.355965,22.652125,88.418046,tunb4e,13,2,124
R000190,Dhriti,22.56089,88.409972,22.548766,88.461068,tunb7g,6,4,119
R000191,Adweta,22.585494,88.445874,22.483094,88.415231,tunbkx,14,3,79
R000192,Akshay,22.610262,88.458729,22.502476,88.30715,tunbsu,12,4,92
R000193,Daksh,22.440665,88.392496,22.610301,88.364301,tgyzem,8,0,126
R000194,William,22.479592,88.345677,22.65037,88.436907,tgyzfk,22,2,50
R000195,Waida,22.643221,88.408524,22.496745,88.298315,tunbgf,22,3,112
R000196,Anmol,22.426577,88.423639,22.644533,88.437963,tgyzs4,9,0,52
R000197,Ekansh,22.62217,88.402961,22.482784,88.415136,tunbew,21,3,143
R000198,Yasti,22.686542,88.346539,22.557531,88.35777,tunc43,7,3,138
R000199,Chameli,22.635337,88.485553,22.488964,88.363467,tunbv8,19,4,40
R000200,Sai,22.584133,88.372024,22.609238,88.49929,tunb6z,16,2,46
R000201,Sai,22.536518,88.296576,22.574903,88.372556,tunb1n,11,0,60
R000202,Forum,22.577968,88.413906,22.572946,88.283231,tunb7y,7,1,130
R000203,Yashawini,22.640747,88.382153,22.654946,88.396808,tunbg1,18,0,87
R000204,Warhi,22.631324,88.445574,22.458416,88.416144,tunbsx,19,3,93
R000205,Nirja,22.571767,88.410134,22.60964,88.333336,tunb7v,7,3,44
R000206,Zayan,22.506059,88.346398,22.684756,88.369166,tunb43,13,1,51
R000207,Mohammed,22.638987,88.431724,22.599411,88.454494,tunbu3,7,3,68
R000208,George,22.568856,88.417855,22.602994,88.383007,tunb7u,12,4,105
R000209,Rudra,22.526083,88.31079,22.567873,88.446406,tunb1s,9,1,88
R000210,Yamini,22.598946,88.400972,22.605163,88.4045,tunbed,19,2,122
R000211,Faras,22.599908,88.380206,22.612336,88.371188,tunbe4,9,3,48
R000212,Warhi,22.475268,88.341081,22.44766,88.434056,tgyzf7,8,0,56
R000213,Joshua,22.542044,88.408308,22.588654,88.432269,tunb5z,7,0,44
R000214,Jyoti,22.549772,88.297659,22.53409,88.326864,tunb33,11,3,41
R000215,Maanav,22.56084,88.344025,22.525503,88.344757,tunb67,20,1,120
R000216,Tejas,22.633313,88.346945,22.527365,88.265145,tunbf2,21,2,67
R000217,Krishna,22.428218,88.393069,22.490838,88.38404,tgyze6,17,0,40
R000218,Amol,22.49423,88.426398,22.628637,88.361388,tgyzun,21,2,49
R000219,Girik,22.553287,88.421135,22.479035,88.389339,tunbk1,9,1,116
R000220,Tanay,22.611564,88.381997,22.517811,88.267162,tunbeh,18,4,135
R000221,Henry,22.499698,88.339179,22.705549,88.397844,tgyzfp,19,0,116
R000222,Mason,22.582265,88.312652,22.571234,88.450023,tunb3w,18,3,131
R000223,Azad,22.595735,88.43943,22.623619,88.345849,tunbs3,18,4,147
R000224,Chaitanya,22.440959,88.370561,22.613808,88.393177,tgyzdv,15,1,62
R000225,Bahadurjit,22.561577,88.397275,22.528123,88.35308,tunb7e,19,4,150
R000226,Wazir,22.624345,88.431711,22.591233,88.316486,tunbsq,13,4,150
R000227,Radhika,22.44027,88.41444,22.540135,88.291963,tgyzev,14,1,140
R000228,Lucky,22.449963,88.371836,22.601082,88.400312,tgyzdy,17,3,66
R000229,Samesh,22.565486,88.342665,22.520863,88.355102,tunb67,6,4,116
R000230,Veer,22.615247,88.400395,22.566456,88.417957,tunbes,17,1,112
R000231,Zashil,22.561121,88.323224,22.565007,88.344015,tunb3g,14,0,72
R000232,Oviya,22.563141,88.430298,22.619196,88.393057,tunbk7,9,1,128
R000233,Aarush,22.444297,88.410397,22.584567,88.295671,tgyzev,6,4,76
R000234,Adweta,22.559507,88.469513,22.521458,88.356043,tunbm4,10,3,136
R000235,Udyati,22.597008,88.322244,22.477288,88.36965,tunb9c,18,1,111
R000236,Maanav,22.609902,88.382638,22.613743,88.466983,tunbeh,17,1,137
R000237,Pooja,22.629292,88.433183,22.600025,88.370035,tunbsr,22,1,119
R000238,Pahal,22.636655,88.439468,22.676403,88.350978,tunbu2,20,0,75
R000239,Lopa,22.509289,88.308366,22.534029,88.368071,tunb19,8,1,109
R000240,Gaurav,22.641791,88.424581,22.606974,88.436328,tunbu1,21,4,59
R000241,Shivani,22.485431,88.393,22.627651,88.464093,tgyzgm,16,2,51
R000242,Forum,22.658684,88.37594,22.626815,88.43213,tunbgh,10,0,108
R000243,Siddharth,22.681786,88.35776,22.626508,88.43183,tunc49,15,2,92
R000244,Pranav,22.428671,88.420563,22.613694,88.439084,tgyzs5,21,2,146
R000245,Dhriti,22.637466,88.44787,22.704618,88.365235,tunbu9,15,3,144
R000246,Urvashi,22.496357,88.391775,22.650617,88.454714,tgyzgr,10,1,74
R000247,Dakshesh,22.670649,88.420571,22.60149,88.459601,tunbup,8,3,40
R000248,Ekavir,22.659683,88.416269,22.641022,88.373767,tunbgv,13,1,55
R000249,Janya,22.605954,88.438472,22.704478,88.368957,tunbs7,16,3,94
R000250,Veer,22.567907,88.333405,22.640986,88.415216,tunb6h,15,3,78
R000251,Januja,22.560256,88.406057,22.553204,88.352625,tunb7d,11,0,83
R000252,Yasti,22.476636,88.358376,22.61216,88.391076,tgyzfe,9,4,70
R000253,Irya,22.513421,88.31901,22.555156,88.397269,tunb1d,17,4,55
R000254,Yatan,22.627286,88.451493,22.54884,88.317575,tunbsz,14,2,53
R000255,Neel,22.627463,88.449528,22.575379,88.29892,tunbsx,21,1,69
R000256,Fariq,22.616142,88.43211,22.605742,88.443837,tunbsm,17,1,68
R000257,Zehaan,22.609621,88.437657,22.5092,88.414342,tunbs7,20,4,141
R000258,Jeremiah,22.639858,88.387956,22.632822,88.391005,tunbg3,6,1,106
R000259,Advik,22.595193,88.473989,22.459456,88.357996,tunbt3,10,1,83
R000260,Jagrati,22.600428,88.387296,22.475764,88.440673,tunbe6,11,3,57
R000261,Sarthak,22.543419,88.341126,22.476794,88.393834,tunb4r,15,3,44
R000262,Samesh,22.604338,88.369474,22.517963,88.331957,tunbdf,21,0,75
R000263,Wahab,22.5047,88.371093,22.631641,88.410905,tunb4b,10,3,133
R000264,Udyati,22.599578,88.380657,22.453454,88.441212,tunbe4,18,4,126
R000265,Aachal,22.611585,88.368457,22.546137,88.44902,tunbdu,7,4,114
R000266,Owen,22.634372,88.405386,22.609648,88.373229,tunbg8,16,3,43
R000267,Damyanti,22.506132,88.334897,22.639601,88.436461,tunb41,12,4,96
R000268,Yochana,22.579178,88.326022,22.666954,88.367706,tunb3y,22,2,130
R000269,Noah,22.455011,88.39719,22.47523,88.381097,tgyzex,7,1,91
R000270,Upma,22.690609,88.37541,22.570341,88.308864,tunc54,16,3,128
R000271,Eesha,22.619112,88.358847,22.46184,88.392871,tunbdt,17,1,119
R000272,Darika,22.616753,88.450744,22.549265,88.307845,tunbst,15,3,56
R000273,Tanmayi,22.645751,88.413594,22.441921,88.414789,tunbgf,11,0,81
R000274,Abha,22.649287,88.403859,22.520673,88.384509,tunbge,13,0,136
R000275,Wyatt,22.647105,88.445055,22.621259,88.399073,tunbud,18,1,55
R000276,Dayita,22.452451,88.405198,22.484221,88.3226,tgyzex,20,4,142
R000277,Amol,22.624896,88.365195,22.469503,88.380618,tunbdy,20,2,98
R000278,Meera,22.640551,88.475203,22.624477,88.396786,tunbv3,14,0,142
R000279,Benjamin,22.642145,88.406123,22.61545,88.410734,tunbg9,15,0,66
R000280,Bina,22.564166,88.427428,22.604461,88.443922,tunbk5,22,2,113
R000281,Meera,22.641706,88.43105,22.576563,88.364576,tunbu3,12,2,104
R000282,Atharv,22.565014,88.286367,22.517445,88.293919,tunb35,8,0,133
R000283,Panini,22.441753,88.419745,22.615756,88.338148,tgyzsj,7,3,70
R000284,Charan,22.556396,88.362726,22.566122,88.303227,tunb6d,11,4,73
R000285,Nidra,22.515254,88.418747,22.640663,88.423099,tunbh4,22,1,91
R000286,Baghyawati,22.588493,88.45595,22.617432,88.408577,tunbsb,7,3,58
R000287,Andrew,22.660687,88.381105,22.623118,88.404601,tunbgj,12,2,61
R000288,Abdul,22.458883,88.414549,22.546034,88.454982,tgyzgb,19,4,47
R000289,Mitali,22.524422,88.355134,22.536347,88.325234,tunb4s,13,0,111
R000290,Rishi,22.620389,88.408691,22.440475,88.421548,tunbev,16,0,67
R000291,Indrajit,22.64888,88.408046,22.539708,88.279706,tunbgg,9,4,106
R000292,Amaira,22.659109,88.342287,22.497043,88.331077,tunbfk,14,3,55
R000293,Keya,22.672008,88.428631,22.511355,88.292234,tunbup,13,3,54
R000294,Mohammed,22.530312,88.276883,22.510573,88.31198,tunb0v,17,0,60
R000295,Unnati,22.487084,88.307644,22.592203,88.326349,tgyzcm,8,3,125
R000296,Wriddhish,22.629664,88.465193,22.488984,88.31928,tunbtp,20,4,83
R000297,Hritik,22.634233,88.41038,22.621629,88.487011,tunbgb,14,0,134
R000298,Atharv,22.622535,88.441129,22.595014,88.368151,tunbsw,22,0,83
R000299,Eesha,22.57322,88.269434,22.676515,88.331899,tunb2t,22,1,67
R000300,Frado,22.680525,88.356091,22.634405,88.454833,tunc48,7,0,86
R000301,Gopal,22.615264,88.372865,22.573962,88.380067,tunbdu,12,4,116
R000302,Hemang,22.621674,88.476383,22.55399,88.307298,tunbtq,19,1,107
R000303,Neha,22.612707,88.396191,22.567109,88.333027,tunbes,17,4,59
R000304,Dakshesh,22.601641,88.388262,22.507233,88.31506,tunbe6,7,0,121
R000305,Ria,22.446489,88.430324,22.655228,88.417881,tgyzsq,7,2,64
R000306,Dipta,22.523131,88.34474,22.642214,88.437431,tunb4k,14,4,84
R000307,Gaurika,22.597226,88.438876,22.544495,88.296993,tunbs3,22,3,107
R000308,Benjamin,22.619529,88.394131,22.530564,88.377268,tunbem,12,3,145
R000309,Dalaja,22.657279,88.413761,22.586097,88.417933,tunbgu,10,3,143
R000310,Anita,22.697389,88.36783,22.510798,88.325529,tunc4g,6,3,108
R000311,Sathvik,22.567149,88.317501,22.470265,88.38931,tunb3s,12,2,103
R000312,Bhavini,22.557025,88.265622,22.517008,88.26392,tunb2d,19,2,107
R000313,Upadhriti,22.666454,88.362148,22.547146,88.377394,tunbfw,19,4,49
R000314,Caleb,22.553047,88.3374,22.578837,88.286491,tunb61,21,1,86
R000315,Champak,22.491871,88.392804,22.620982,88.418882,tgyzgq,11,4,68
R000316,Chakradhar,22.435723,88.432843,22.618643,88.360308,tgyzsk,7,3,149
R000317,Prisha,22.58393,88.450065,22.432238,88.411535,tunbkx,12,2,105
R000318,Faris,22.579685,88.445153,22.5635,88.297929,tunbkw,7,0,124
R000319,Anamika,22.436256,88.352533,22.51291,88.327851,tgyzds,21,3,118
R000320,Wazir,22.590388,88.454684,22.552349,88.447227,tunbsb,22,3,93
R000321,Caleb,22.553791,88.307941,22.572132,88.328306,tunb33,21,3,106
R000322,Falguni,22.5707,88.414244,22.553656,88.418573,tunb7u,20,2,44
R000323,Janaki,22.570809,88.329116,22.502689,88.371476,tunb3u,9,0,43
R000324,Mason,22.586318,88.461224,22.629728,88.448327,tunbkz,11,4,124
R000325,Turvi,22.564674,88.438058,22.606647,88.387747,tunbk7,10,3,61
R000326,Charles,22.62519,88.410944,22.518449,88.308826,tunbey,13,2,150
R000327,Ekansh,22.541938,88.349687,22.622129,88.337226,tunb4r,11,0,53
R000328,Gabriel,22.65497,88.405237,22.530961,88.299969,tunbgs,22,3,98
R000329,Brijesh,22.613973,88.403387,22.601261,88.426882,tunbes,9,1,137
R000330,Anay,22.567358,88.31631,22.494935,88.312966,tunb3s,20,3,74
R000331,Warda,22.606128,88.371432,22.63273,88.339012,tunbdg,20,4,126
R000332,Udant,22.484813,88.388838,22.58724,88.311868,tgyzgm,8,2,55
R000333,Janya,22.512441,88.39687,22.607925,88.49115,tunb5d,21,2,61
R000334,Ranveer,22.597381,88.459165,22.575531,88.277779,tunbsc,18,3,112
R000335,Chandran,22.652471,88.403007,22.521857,88.351715,tunbge,14,4,83
R000336,Baghyawati,22.579873,88.311767,22.50397,88.324497,tunb3w,6,0,98
R000337,Oscar,22.644277,88.377806,22.538067,88.386658,tunbg4,13,0,101
R000338,Hemang,22.517687,88.316959,22.525962,88.293703,tunb1e,21,1,145
